run_id_11,source_run_09,source_run_11_2,bucket_min_train_reviews,model,recall_at_k,ndcg_at_k,n_users,n_items,n_candidates,eval_user_count_requested,eval_user_count_surviving,eval_user_count_dropped,baseline_score_col,baseline_rank_col,fusion_mode
20260408_203627,/root/autodl-tmp/5006_BDA_project/data/output/09_candidate_fusion_structural_v5_sourceparity/20260324_030511_full_stage09_candidate_fusion,/root/autodl-tmp/5006_BDA_fast/bucket5_top250_semantic_compact_boundary_reason_rm_train_westd_v101_11_30only4pair/output/11_qlora_models/20260406_143942_stage11_2_rm_train,5,XGBBlend@10,0.0,0.0,394,1185,39400,517,394,123,learned_blend_score,learned_rank,rescue_bonus
20260408_203627,/root/autodl-tmp/5006_BDA_project/data/output/09_candidate_fusion_structural_v5_sourceparity/20260324_030511_full_stage09_candidate_fusion,/root/autodl-tmp/5006_BDA_fast/bucket5_top250_semantic_compact_boundary_reason_rm_train_westd_v101_11_30only4pair/output/11_qlora_models/20260406_143942_stage11_2_rm_train,5,QLoRASidecar@10,0.21573604060913706,0.09841467572453659,394,1185,39400,517,394,123,learned_blend_score,learned_rank,rescue_bonus
20260408_203627,/root/autodl-tmp/5006_BDA_project/data/output/09_candidate_fusion_structural_v5_sourceparity/20260324_030511_full_stage09_candidate_fusion,/root/autodl-tmp/5006_BDA_fast/bucket5_top250_semantic_compact_boundary_reason_rm_train_westd_v101_11_30only4pair/output/11_qlora_models/20260406_143942_stage11_2_rm_train,5,QLoRASidecarJoint@10,0.22588832487309646,0.10491893414971343,394,1185,39400,517,394,123,learned_blend_score,learned_rank,rescue_bonus
