trial_id,backend,alpha,status,source_run_09,run_id_10,learned_model,learned_recall_at_10,learned_ndcg_at_10,pre_score_recall_at_10,pre_score_ndcg_at_10,delta_recall_vs_pre,delta_ndcg_vs_pre,item_coverage_at_10,tail_coverage_at_10,novelty_at_10,n_users,n_candidates,metrics_path
b5_xgboost_cls_a0p15,xgboost_cls,0.15,completed,20260324_030511_full_stage09_candidate_fusion,20260326_043040,LearnedBlendXGBCls@10,0.126098,0.058108,0.093540,0.043978,0.032558,0.014130,0.397108,0.050646,8.432432,1935,935160,/root/autodl-tmp/5006_BDA_fast/bucket5_backend_compare_a015/b5_xgboost_cls_a0p15/metrics.csv
b5_xgboost_ranker_a0p15,xgboost_ranker,0.15,completed,20260324_030511_full_stage09_candidate_fusion,20260326_043807,LearnedBlendXGBRanker@10,0.080103,0.043946,0.093540,0.043978,-0.013437,-0.000032,0.442158,0.076589,8.677061,1935,935160,/root/autodl-tmp/5006_BDA_fast/bucket5_backend_compare_a015/b5_xgboost_ranker_a0p15/metrics.csv
